»’∆⁄,◊Ó∏ﬂ∆¯Œ¬,◊ÓµÕ∆¯Œ¬,ÃÏ∆¯
2021-01-01,6°Ê,-5°Ê,«Á
2021-01-02,4°Ê,-5°Ê,ˆ≤
2021-01-03,2°Ê,-6°Ê,«Á
2021-01-04,1°Ê,-8°Ê,«Á
2021-01-05,0°Ê,-10°Ê,«Á
2021-01-06,0°Ê,-15°Ê,«Á
2021-01-07,-°Ê,-11°Ê,«Á
2021-01-08,3°Ê,-7°Ê,«Á
2021-01-09,5°Ê,-7°Ê,«Á
2021-01-10,3°Ê,-5°Ê,∂‡‘∆
2021-01-11,4°Ê,-5°Ê,«Á
2021-01-12,1°Ê,0°Ê,«Á
2021-01-13,1°Ê,-4°Ê,ˆ≤
2021-01-14,6°Ê,-2°Ê,∂‡‘∆
2021-01-15,5°Ê,-6°Ê,∂‡‘∆
2021-01-16,3°Ê,-5°Ê,«Á
2021-01-17,9°Ê,-2°Ê,«Á
2021-01-18,1°Ê,-4°Ê,«Á
2021-01-19,0°Ê,-5°Ê,∂‡‘∆
2021-01-20,3°Ê,-3°Ê,“ı
2021-01-21,5°Ê,-4°Ê,ˆ≤
2021-01-22,6°Ê,-4°Ê,ˆ≤
2021-01-23,7°Ê,-3°Ê,ˆ≤
2021-01-24,4°Ê,0°Ê,–°—©
2021-01-25,4°Ê,-3°Ê,ˆ≤
2021-01-26,1°Ê,-1°Ê,∂‡‘∆
2021-01-27,1°Ê,-4°Ê,«Á
2021-01-28,7°Ê,-4°Ê,«Á
2021-01-29,1°Ê,0°Ê,«Á
2021-01-30,1°Ê,-1°Ê,«Á
2021-01-31,1°Ê,0°Ê,«Á
2021-02-01,9°Ê,-6°Ê,«Á
2021-02-02,6°Ê,-2°Ê,«Á
2021-02-03,1°Ê,-3°Ê,«Á
2021-02-04,1°Ê,3°Ê,∂‡‘∆
2021-02-05,1°Ê,5°Ê,«Á
2021-02-06,2°Ê,0°Ê,∂‡‘∆
2021-02-07,7°Ê,-3°Ê,«Á
2021-02-08,8°Ê,3°Ê,“ı
2021-02-09,1°Ê,0°Ê,«Á
2021-02-10,1°Ê,2°Ê,«Á
2021-02-11,1°Ê,3°Ê,∂‡‘∆
2021-02-12,1°Ê,3°Ê,ˆ≤
2021-02-13,1°Ê,5°Ê,“ı
2021-02-14,1°Ê,-1°Ê,“ı
2021-02-15,8°Ê,0°Ê,«Á
2021-02-16,8°Ê,-6°Ê,«Á
2021-02-17,6°Ê,-3°Ê,«Á
2021-02-18,1°Ê,4°Ê,«Á
2021-02-19,2°Ê,7°Ê,«Á
2021-02-20,2°Ê,10°Ê,«Á
2021-02-21,2°Ê,6°Ê,«Á
2021-02-22,1°Ê,2°Ê,∂‡‘∆
2021-02-23,1°Ê,1°Ê,“ı
2021-02-24,3°Ê,0°Ê,–°—©
2021-02-25,8°Ê,-1°Ê,∂‡‘∆
2021-02-26,9°Ê,-1°Ê,«Á
